infections,deaths,infecteds
2,0,2
3,0,3
6,0,6
7,0,7
7,0,8
9,0,9
12,0,12
16,0,16
14,0,16
18,0,20
22,0,27
26,0,30
32,0,38
33,0,40
39,0,49
48,0,53
53,0,59
59,1,67
63,2,74
65,2,80
67,2,84
70,3,89
67,5,96
73,5,103
75,5,116
79,6,123
81,6,131
92,6,142
103,6,153
112,6,163
116,6,168
128,6,178
132,6,189
134,7,200
136,7,205
135,9,209
130,10,216
137,11,222
144,12,232
137,13,240
135,14,244
139,15,250
143,16,258
142,18,261
149,20,273
154,20,282
155,23,288
157,24,292
171,25,307
170,28,314
175,30,324
181,32,337
181,32,345
193,33,353
195,36,364
189,36,370
193,39,379
203,40,388
214,41,397
205,41,403
208,41,415
213,41,423
219,42,435
228,42,450
233,45,461
228,47,474
250,47,489
253,49,502
261,50,520
265,51,531
284,53,552
295,54,574
309,56,589
308,58,604
324,58,620
335,61,643
348,62,662
349,63,679
364,65,702
370,69,715
372,70,727
378,72,742
381,75,760
400,78,777
405,78,797
419,81,820
431,83,839
459,85,875
480,85,896
498,86,927
511,88,961
519,90,988
528,94,1020
561,97,1055
583,98,1087
587,101,1118
594,103,1148
604,109,1182
613,113,1210
641,118,1236
623,120,1260
617,122,1287
644,127,1314
652,134,1334
669,140,1363
666,146,1387
655,146,1405
641,153,1430
656,158,1452
662,163,1470
646,172,1488
636,181,1505
628,187,1523
625,193,1545
658,198,1565
659,203,1589
658,207,1611
658,213,1635
663,216,1653
655,222,1665
674,223,1685
674,229,1698
660,235,1708
658,239,1725
683,244,1748
688,247,1765
684,250,1775
674,254,1791
669,259,1804
660,261,1815
668,262,1833
660,266,1842
639,269,1860
645,273,1867
661,275,1883
645,278,1897
656,284,1911
674,286,1930
661,290,1942
659,295,1957
669,300,1972
689,303,1988
689,304,2006
705,307,2023
716,314,2040
700,316,2047
730,320,2062
732,327,2069
731,331,2082
752,339,2095
744,345,2105
746,346,2119
756,350,2131
761,357,2145
756,364,2153
762,368,2165
761,371,2183
739,377,2192
752,379,2209
744,383,2223
740,389,2231
738,400,2242
765,404,2253
747,409,2270
741,414,2282
755,423,2291
748,427,2298
721,433,2306
721,438,2314
705,443,2323
686,448,2328
696,454,2337
667,459,2342
642,463,2347
624,466,2352
615,471,2355
607,473,2361
591,477,2365
588,481,2371
584,485,2378
584,490,2388
600,492,2392
593,496,2399
585,501,2407
580,505,2408
568,509,2413
561,515,2423
537,518,2426
567,522,2429
557,530,2433
569,533,2438
566,536,2439
565,542,2446
563,543,2449
559,544,2453
544,549,2459
514,551,2462
502,557,2465
498,562,2471
504,563,2472
496,567,2473
502,569,2475
500,574,2476
495,581,2478
507,581,2482
494,583,2482
491,589,2483
472,593,2483
474,596,2485
481,598,2485
464,602,2485
472,604,2485
459,607,2485
444,611,2485
435,615,2485
421,616,2485
403,619,2485
379,624,2485
377,628,2485
372,628,2485
362,633,2485
377,636,2485
354,637,2486
361,638,2486
356,641,2486
367,643,2487
350,645,2487
371,646,2487
361,650,2487
343,651,2487
346,654,2487
351,657,2488
352,657,2488
337,658,2488
331,660,2488
331,662,2488
343,663,2488
334,665,2488
322,669,2489
312,671,2489
312,674,2489
321,678,2489
301,683,2489
295,686,2489
301,690,2489
303,691,2489
297,693,2490
275,698,2490
282,698,2490
278,701,2490
278,701,2490
271,702,2490
261,703,2491
260,707,2491
259,709,2491
255,711,2491
246,715,2491
260,715,2491
238,723,2491
237,724,2491
232,725,2491
217,727,2491
222,731,2491
220,731,2491
199,733,2491
190,735,2491
184,739,2491
182,742,2491
177,742,2491
173,742,2491
174,744,2491
164,744,2491
163,745,2491
164,745,2491
146,746,2491
151,748,2491
154,748,2491
151,751,2491
152,753,2491
157,754,2491
148,754,2492
144,756,2492
148,757,2492
142,758,2492
129,758,2492
125,759,2492
122,761,2492
128,761,2492
124,761,2492
126,762,2492
121,763,2492
122,764,2492
128,764,2492
128,765,2492
134,765,2492
125,766,2492
112,766,2492
107,766,2492
111,766,2492
107,766,2492
