infections,deaths,infecteds
4,0,4
7,0,7
7,0,7
15,0,15
18,0,18
23,0,23
28,0,28
31,0,31
32,0,36
44,0,45
44,2,49
48,3,55
56,4,63
64,5,74
75,6,84
90,6,99
101,8,115
107,10,124
121,10,139
140,12,154
144,14,169
156,18,189
168,20,208
180,27,222
188,31,239
209,34,258
204,40,269
228,45,299
237,48,312
232,55,324
241,61,341
255,67,361
255,77,379
281,81,403
301,88,433
302,94,450
331,102,484
356,105,507
370,114,537
390,123,565
401,129,590
426,141,627
434,150,650
454,164,684
464,174,721
474,179,742
498,190,780
516,203,809
522,214,841
539,227,874
557,244,916
570,256,939
604,263,978
640,275,1031
652,287,1061
671,300,1092
700,316,1134
702,336,1165
714,352,1205
741,369,1249
761,387,1295
770,409,1345
799,429,1391
852,445,1440
864,466,1488
875,484,1525
896,506,1571
902,529,1609
902,557,1638
916,580,1687
904,616,1717
895,649,1749
890,667,1780
918,686,1820
883,713,1845
912,729,1872
901,755,1910
887,779,1936
896,799,1956
924,818,2005
909,845,2035
915,868,2075
913,890,2104
935,902,2133
934,925,2158
940,946,2196
935,971,2220
927,998,2239
938,1015,2268
912,1034,2287
886,1067,2303
877,1091,2326
844,1116,2341
857,1136,2356
843,1154,2369
825,1180,2380
803,1210,2392
792,1231,2403
775,1250,2416
737,1273,2418
737,1303,2427
714,1332,2440
698,1343,2447
674,1362,2452
655,1386,2456
638,1410,2460
625,1438,2465
600,1458,2470
570,1472,2473
543,1495,2473
516,1509,2475
491,1531,2477
480,1543,2480
464,1557,2480
460,1571,2483
439,1581,2484
420,1590,2484
418,1602,2487
395,1611,2488
380,1623,2489
366,1633,2489
345,1640,2489
332,1647,2489
337,1655,2489
323,1664,2489
294,1672,2489
286,1680,2489
274,1692,2489
256,1700,2489
251,1707,2489
228,1715,2489
223,1722,2489
217,1729,2489
203,1733,2489
186,1746,2489
197,1747,2489
189,1755,2489
183,1759,2489
185,1767,2489
168,1771,2489
167,1775,2489
161,1781,2489
146,1783,2489
140,1786,2489
134,1788,2489
120,1792,2489
114,1802,2489
108,1807,2489
97,1810,2489
96,1812,2489
100,1815,2489
88,1816,2489
81,1820,2489
78,1821,2489
79,1824,2489
76,1828,2489
74,1830,2489
63,1834,2489
60,1838,2489
60,1840,2489
57,1842,2489
55,1844,2489
48,1845,2489
41,1848,2489
48,1849,2489
42,1849,2489
40,1850,2489
38,1852,2489
35,1854,2489
34,1855,2489
32,1856,2489
27,1859,2489
26,1859,2489
23,1860,2489
20,1860,2489
19,1861,2489
18,1862,2489
20,1862,2489
19,1862,2489
16,1863,2489
15,1864,2489
18,1864,2489
19,1864,2489
18,1866,2489
15,1868,2489
15,1868,2489
14,1868,2489
14,1868,2489
15,1868,2489
14,1868,2489
13,1869,2489
10,1869,2489
9,1869,2489
9,1869,2489
9,1869,2489
7,1869,2489
7,1869,2489
6,1870,2489
7,1870,2489
7,1870,2489
4,1870,2489
4,1870,2489
5,1870,2489
5,1870,2489
3,1870,2489
3,1870,2489
3,1870,2489
2,1870,2489
2,1870,2489
1,1870,2489
1,1870,2489
1,1870,2489
1,1870,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
0,1871,2489
