infections,deaths,infecteds
1,0,0
1,0,0
1,0,0
2,0,1
1,0,1
2,0,2
2,0,2
3,0,3
5,0,5
6,0,6
5,0,6
7,0,8
8,0,9
8,0,9
9,0,9
9,0,10
10,0,13
10,0,13
12,0,16
12,0,18
16,0,21
21,0,26
23,0,28
21,0,30
25,0,33
27,0,36
34,0,41
36,0,44
40,0,51
42,0,54
43,0,57
43,0,58
47,0,63
47,0,65
45,0,68
47,0,73
44,0,76
48,1,80
60,1,88
66,2,98
71,2,102
73,2,109
71,2,112
81,2,119
84,3,123
82,3,131
88,3,140
97,3,148
112,3,164
118,3,173
126,3,183
130,3,190
132,4,196
131,4,201
132,4,208
132,4,214
125,5,218
125,5,229
128,5,233
126,6,239
131,7,247
133,7,253
132,7,259
142,7,268
153,7,278
164,7,291
168,8,298
176,8,307
184,10,314
196,10,327
199,10,341
205,10,354
211,11,368
218,11,376
236,11,396
242,11,410
244,11,426
257,12,440
272,13,455
286,14,472
288,14,485
294,14,503
309,14,522
313,14,533
331,15,558
339,16,574
331,18,590
340,18,609
345,18,626
354,18,648
359,19,662
360,22,674
357,22,690
362,24,710
365,24,729
373,28,741
368,30,757
370,30,779
372,31,790
382,31,806
407,33,829
398,34,839
416,35,857
433,37,880
425,40,899
439,41,915
452,41,932
460,42,952
480,43,968
492,44,987
501,47,1007
516,50,1028
545,51,1056
547,51,1072
562,51,1098
555,52,1110
562,53,1138
579,54,1160
583,56,1179
576,57,1206
600,59,1234
617,60,1260
631,61,1274
653,61,1296
659,63,1303
657,64,1327
681,67,1338
680,67,1355
674,68,1375
661,72,1386
659,74,1400
658,75,1418
665,77,1433
672,78,1457
663,79,1468
673,79,1476
676,79,1491
689,83,1508
703,85,1519
716,85,1530
709,87,1547
712,88,1557
756,91,1571
743,93,1584
733,94,1597
746,95,1605
751,96,1622
751,98,1632
745,99,1652
733,102,1664
739,102,1676
747,105,1696
736,108,1714
729,108,1723
732,113,1740
754,116,1754
762,116,1771
757,116,1787
782,118,1803
786,122,1825
815,124,1844
815,126,1854
856,126,1889
832,128,1905
873,130,1925
876,131,1942
873,133,1957
872,134,1973
891,137,1994
882,139,2016
886,139,2033
919,142,2052
916,146,2071
935,149,2090
950,151,2114
951,152,2127
967,154,2146
999,156,2156
977,157,2175
976,163,2190
988,165,2204
988,165,2220
979,167,2229
974,169,2237
939,172,2251
971,175,2268
960,177,2278
952,178,2294
948,182,2304
919,185,2311
909,186,2321
916,191,2329
882,195,2335
880,198,2345
870,199,2349
880,201,2355
895,203,2362
915,204,2368
903,206,2376
929,211,2382
973,212,2389
968,215,2391
963,219,2396
959,223,2398
966,223,2405
976,223,2409
944,230,2411
925,232,2417
916,235,2424
918,246,2431
912,250,2437
926,253,2441
908,254,2445
901,255,2449
934,257,2456
943,259,2458
912,262,2462
916,263,2467
911,263,2473
912,267,2475
911,271,2478
909,276,2483
873,282,2488
903,284,2494
924,290,2501
919,291,2503
889,294,2505
905,294,2509
925,294,2512
901,295,2513
906,296,2516
876,296,2517
856,297,2521
857,299,2524
843,302,2526
824,304,2526
822,305,2526
827,308,2529
818,310,2529
821,310,2529
823,311,2530
803,311,2530
781,313,2530
800,314,2530
765,316,2531
764,316,2531
755,319,2531
733,322,2532
745,323,2532
770,324,2533
761,326,2533
784,327,2533
793,327,2534
772,331,2534
821,335,2534
818,337,2534
805,339,2534
821,340,2534
834,344,2534
827,346,2534
826,348,2534
803,352,2534
797,352,2535
782,353,2536
788,355,2536
789,355,2536
763,357,2537
737,357,2538
737,358,2538
747,360,2539
736,363,2539
715,364,2539
723,369,2539
703,370,2539
710,372,2539
708,373,2539
697,375,2539
719,378,2539
729,381,2539
707,383,2539
713,386,2539
718,386,2539
737,390,2539
717,392,2539
707,392,2539
697,397,2539
697,399,2539
698,400,2539
686,403,2539
672,405,2539
641,408,2539
659,409,2539
639,412,2539
641,413,2539
626,416,2539
631,417,2539
630,418,2539
643,419,2539
647,420,2539
636,422,2539
