infections,deaths,infecteds
3,0,3
3,0,3
5,0,5
7,0,7
10,0,11
12,0,12
14,0,14
15,0,16
19,0,20
19,0,22
20,0,22
22,0,26
24,0,30
25,0,33
31,0,39
33,0,42
37,0,51
42,0,56
44,0,60
47,1,66
50,1,71
55,1,78
54,1,80
60,1,89
62,1,97
64,2,101
73,2,110
76,2,118
80,2,123
84,2,130
87,3,138
88,3,141
93,3,152
99,3,161
105,3,169
110,3,176
119,3,188
131,3,199
134,3,207
144,3,219
156,3,230
163,3,239
167,3,249
181,4,260
173,4,266
186,4,275
184,5,280
181,5,284
189,7,300
199,8,312
202,9,323
164,9,332
166,10,340
159,10,349
150,11,353
152,11,359
143,11,366
133,11,369
126,12,377
116,12,379
114,13,382
107,13,385
93,14,388
84,14,390
91,14,394
85,14,398
84,14,399
76,14,402
66,14,406
63,14,409
62,14,412
59,14,414
56,14,418
52,14,420
49,14,423
48,14,425
47,14,426
40,14,428
35,14,429
33,14,429
33,14,432
28,14,433
25,14,435
21,14,438
23,14,441
25,14,445
25,14,448
24,14,450
26,14,451
23,14,453
25,14,455
23,14,457
21,14,459
16,14,460
18,14,462
15,14,463
14,14,464
19,14,468
20,14,472
19,14,473
18,14,476
21,14,480
23,14,485
24,14,487
26,14,491
23,14,492
33,14,496
33,14,498
34,15,500
33,15,502
34,15,504
33,15,507
36,15,508
33,15,511
31,15,514
35,15,517
32,15,520
39,15,531
38,15,536
41,15,541
33,15,542
32,15,544
28,15,547
31,15,550
26,15,552
30,15,557
23,16,558
23,16,559
25,16,563
28,16,567
26,16,570
29,16,575
30,16,578
25,16,578
27,16,581
26,16,582
23,16,583
26,16,588
24,16,588
22,16,590
20,16,591
17,16,592
17,16,593
17,16,595
14,16,595
10,16,596
12,16,598
11,16,598
15,16,600
16,16,602
15,16,603
11,16,603
13,16,603
13,16,603
13,16,603
10,16,603
11,16,604
10,16,604
12,16,604
8,16,604
9,17,604
9,17,605
8,17,605
7,17,605
5,17,605
4,17,605
3,17,605
2,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
0,17,605
