infections,deaths,infecteds
1,0,0
2,0,1
3,0,2
4,0,3
3,0,3
4,0,4
5,0,4
7,0,6
7,0,6
8,0,8
8,0,10
11,0,12
11,0,12
12,0,14
14,0,16
13,0,16
15,0,18
16,0,22
14,0,23
17,0,24
20,0,26
21,0,31
23,0,32
26,0,36
28,0,39
30,0,39
34,0,43
31,0,45
35,0,49
38,0,53
40,0,55
40,0,61
41,0,62
44,0,66
47,0,71
53,0,75
57,0,83
59,0,86
65,1,93
70,1,98
76,2,103
77,2,108
86,2,118
80,2,120
89,3,131
94,3,137
89,3,142
96,4,152
97,4,158
98,4,166
105,4,179
112,6,188
112,7,195
123,7,209
131,10,219
133,11,232
146,11,244
148,11,249
154,11,261
156,11,269
166,12,283
163,13,290
187,14,307
190,14,318
200,14,332
215,14,346
217,14,358
237,14,378
236,14,390
250,14,410
259,14,429
271,15,444
258,15,457
272,16,476
270,17,492
272,18,501
287,18,519
276,19,530
269,22,542
288,24,557
295,24,568
288,25,581
301,26,595
305,27,612
308,28,624
322,29,638
331,29,650
319,30,665
334,33,684
356,33,693
351,35,703
356,37,719
370,39,729
379,40,746
388,40,761
403,40,776
386,43,786
399,44,802
415,46,816
419,47,836
423,48,854
443,49,870
449,50,885
455,52,902
462,53,918
452,55,934
475,55,955
470,56,970
479,58,996
493,60,1020
487,61,1038
497,61,1061
517,63,1087
526,65,1111
522,69,1136
545,69,1166
539,75,1182
560,76,1204
562,78,1226
579,78,1252
572,80,1276
593,81,1298
597,81,1321
613,82,1354
614,82,1377
649,83,1406
664,84,1428
696,85,1454
711,85,1476
722,86,1506
725,90,1533
751,92,1556
759,94,1590
781,96,1616
778,96,1636
771,96,1660
795,97,1683
783,101,1700
794,101,1731
802,104,1747
784,105,1766
799,107,1797
832,107,1816
817,108,1833
863,110,1851
871,113,1881
883,115,1903
882,117,1925
909,118,1946
904,123,1972
903,128,1991
561,129,1999
514,129,2012
500,130,2021
489,132,2029
465,133,2034
426,133,2041
396,134,2049
392,135,2056
408,135,2059
399,136,2065
385,139,2069
376,139,2075
369,140,2080
364,141,2081
374,141,2091
361,141,2094
374,141,2098
371,142,2102
366,144,2105
361,145,2109
360,145,2110
351,145,2111
349,145,2112
348,146,2113
349,147,2115
349,149,2119
344,149,2120
346,149,2122
341,149,2124
339,150,2128
343,150,2131
346,151,2132
357,151,2134
354,153,2135
351,153,2137
357,154,2138
369,156,2141
385,156,2142
392,157,2143
374,159,2148
384,162,2150
402,162,2153
397,162,2156
406,162,2160
415,164,2161
419,164,2163
432,164,2165
445,164,2166
430,167,2167
442,169,2168
423,172,2169
409,172,2172
417,172,2173
417,174,2174
409,175,2175
420,175,2175
401,175,2175
408,177,2175
411,178,2175
413,179,2175
407,182,2177
412,183,2178
400,185,2178
402,188,2180
391,190,2181
392,192,2183
389,193,2185
396,196,2187
402,196,2187
410,196,2188
407,198,2190
415,198,2190
411,199,2191
416,199,2194
414,199,2196
410,204,2197
405,204,2201
406,205,2201
410,205,2205
422,205,2209
416,205,2211
400,205,2212
406,207,2213
409,210,2217
403,211,2217
410,214,2219
419,216,2221
417,216,2222
437,216,2223
455,217,2228
438,218,2228
437,219,2229
439,221,2230
437,224,2231
445,228,2234
433,229,2235
436,230,2235
436,231,2237
440,232,2237
425,232,2238
434,234,2239
430,236,2240
433,236,2240
437,236,2243
425,239,2245
424,242,2245
433,242,2245
439,243,2247
443,243,2247
444,245,2247
439,245,2247
433,246,2248
445,247,2250
438,250,2250
440,252,2251
446,253,2251
439,257,2252
439,259,2253
440,260,2253
432,261,2253
435,263,2256
420,264,2257
402,266,2258
409,266,2259
414,267,2259
418,270,2259
435,271,2260
437,271,2260
448,271,2260
470,274,2260
468,276,2260
472,276,2261
467,279,2261
448,280,2261
444,283,2261
443,283,2261
428,284,2261
414,285,2263
419,286,2264
403,287,2264
405,288,2264
415,288,2264
404,288,2266
401,290,2267
395,290,2267
390,292,2268
397,292,2268
404,292,2269
399,293,2269
