infections,deaths,infecteds
2,0,2
4,0,4
5,0,5
7,0,7
7,0,7
9,0,9
12,0,12
14,0,14
16,0,17
16,0,18
21,0,23
22,0,24
24,0,28
27,1,33
33,1,40
33,1,45
38,1,50
38,1,53
46,1,60
45,1,64
50,1,70
50,1,74
55,1,81
54,1,85
64,1,95
64,1,99
67,1,104
77,1,114
78,1,120
85,1,128
98,1,137
104,1,147
108,1,151
113,2,163
122,2,171
124,3,178
130,3,186
146,3,206
144,3,213
154,3,222
169,3,231
161,4,241
171,4,252
182,4,264
177,5,275
186,6,289
207,6,299
199,8,312
204,8,322
217,10,338
223,11,355
232,12,366
250,12,384
242,12,395
243,13,405
242,14,414
258,14,430
248,14,436
252,14,454
257,14,468
257,18,482
272,19,492
297,20,514
302,20,527
311,20,542
326,21,561
338,21,573
340,21,586
362,21,612
357,22,627
375,22,648
377,24,666
383,25,686
402,25,710
425,25,736
434,26,760
453,27,776
459,28,800
470,29,820
472,30,842
488,32,862
500,34,882
496,36,903
521,37,927
523,40,951
533,40,970
547,41,995
570,42,1017
564,44,1035
582,47,1057
584,48,1075
594,48,1097
608,53,1118
612,54,1136
612,55,1153
630,58,1174
621,58,1196
616,59,1215
637,61,1239
649,62,1261
664,67,1282
662,70,1302
670,71,1328
691,73,1350
705,74,1372
720,74,1399
716,75,1420
704,80,1441
695,81,1461
730,81,1485
729,82,1507
728,84,1522
732,85,1545
744,89,1567
758,92,1589
758,93,1609
773,95,1630
758,96,1645
798,97,1674
808,98,1700
829,101,1725
810,104,1740
848,105,1769
859,107,1784
871,110,1804
860,114,1832
888,115,1854
881,116,1871
875,116,1884
911,118,1906
905,120,1924
911,124,1937
943,125,1955
936,127,1972
931,128,1985
933,130,1996
948,134,2011
930,135,2019
948,137,2039
941,139,2050
944,141,2059
952,142,2074
922,144,2082
941,146,2093
961,146,2106
947,147,2114
935,151,2124
956,152,2142
962,156,2153
976,159,2165
999,162,2176
979,166,2185
951,169,2193
938,169,2199
895,172,2213
867,174,2225
836,177,2235
773,181,2247
733,182,2252
704,184,2262
679,186,2266
646,189,2271
621,189,2279
564,190,2282
541,194,2291
506,195,2296
473,196,2301
434,198,2306
408,198,2311
382,198,2317
334,199,2321
313,199,2325
290,200,2330
261,200,2331
246,201,2336
221,201,2341
203,201,2344
215,201,2350
208,201,2356
190,203,2361
184,203,2364
187,203,2370
170,204,2374
168,204,2380
161,204,2386
143,204,2388
137,204,2393
141,206,2400
137,206,2403
127,207,2406
128,208,2409
123,208,2411
111,208,2413
103,208,2414
94,209,2417
84,209,2419
79,209,2422
60,209,2423
60,209,2426
50,209,2429
49,209,2430
47,209,2432
45,209,2434
47,209,2434
47,209,2437
44,209,2438
41,209,2439
42,209,2442
48,209,2443
42,209,2444
36,210,2444
33,210,2447
33,210,2450
33,210,2450
31,210,2450
28,210,2452
23,210,2452
23,210,2453
21,210,2453
15,210,2453
14,210,2454
11,210,2454
11,210,2454
7,210,2454
5,210,2454
6,210,2454
5,210,2455
6,210,2456
3,210,2456
3,210,2456
4,210,2457
5,210,2458
4,210,2458
3,210,2458
4,210,2459
4,210,2460
5,210,2461
7,210,2463
8,210,2465
9,210,2467
12,210,2469
14,210,2470
13,210,2470
13,210,2471
13,210,2472
11,210,2473
13,210,2475
10,210,2475
8,210,2475
8,210,2475
9,210,2476
8,210,2477
8,210,2478
5,211,2478
8,211,2478
9,211,2479
10,211,2480
9,211,2480
9,211,2480
8,211,2480
9,211,2481
6,211,2481
5,211,2481
6,211,2481
6,211,2481
6,211,2481
7,211,2481
6,211,2481
6,211,2481
8,211,2481
8,211,2481
7,211,2481
7,211,2481
5,211,2481
5,211,2481
7,211,2481
4,211,2481
3,211,2481
3,211,2481
2,211,2481
2,211,2481
2,211,2481
1,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
0,211,2481
