infections,deaths,infecteds
4,0,4
4,0,4
6,0,6
9,0,9
9,0,10
11,0,11
13,0,13
15,0,17
16,0,18
16,0,20
19,0,23
22,0,25
25,0,28
25,0,31
27,0,35
30,1,39
30,1,42
31,1,43
35,1,49
31,1,50
32,1,52
36,1,56
39,1,60
35,1,60
35,1,63
36,1,66
37,1,68
41,1,69
39,1,70
34,1,72
36,1,74
36,1,76
43,1,79
42,2,83
36,2,84
41,3,86
40,3,88
42,4,91
45,4,96
42,4,98
47,4,102
47,4,104
45,4,106
48,4,108
48,4,110
49,4,111
52,4,115
52,4,117
48,4,121
48,4,123
52,4,127
55,4,131
56,4,137
55,4,141
56,4,145
60,4,149
60,4,155
65,4,159
60,4,162
57,4,165
61,4,171
70,5,178
67,5,178
72,6,181
66,6,183
74,6,189
76,6,195
78,6,196
73,7,198
68,7,200
73,7,203
70,7,206
72,7,211
69,7,214
63,7,219
65,7,224
70,7,229
67,7,233
74,7,237
71,7,238
77,7,243
80,8,249
82,9,252
82,10,257
82,10,262
78,10,265
78,10,272
80,10,276
71,10,277
70,10,283
69,11,286
64,11,290
76,11,295
83,11,298
80,11,302
84,12,304
84,12,307
89,12,316
90,12,321
97,13,328
95,14,333
96,14,337
95,14,344
105,14,351
114,14,357
118,14,366
116,14,370
118,14,377
127,14,388
131,14,397
126,16,403
132,16,410
135,16,422
129,16,426
139,16,436
137,16,439
134,16,443
133,16,451
134,16,458
135,16,465
136,16,471
126,16,476
131,16,483
138,16,492
148,17,499
147,18,505
154,18,513
155,18,520
154,18,527
153,18,536
159,18,548
164,18,558
168,19,566
161,19,573
177,19,585
189,19,596
187,19,607
192,20,624
189,21,628
191,23,641
199,24,652
206,25,661
201,26,671
208,27,685
213,28,698
218,28,710
221,29,719
219,29,730
218,29,740
224,30,759
224,30,771
235,30,794
232,32,802
227,32,817
248,33,840
273,34,867
256,36,873
269,36,892
279,36,910
279,37,921
291,37,939
297,38,962
285,39,972
287,39,989
309,40,1004
303,41,1017
307,41,1036
315,41,1053
314,42,1070
322,42,1083
326,43,1092
350,44,1111
346,44,1130
354,46,1146
369,46,1161
354,46,1172
356,47,1190
373,48,1210
356,50,1222
344,52,1242
345,53,1257
342,58,1269
337,59,1281
347,60,1295
348,61,1310
327,62,1322
342,63,1342
345,64,1351
349,65,1366
349,66,1382
358,66,1397
375,66,1418
366,67,1426
362,70,1443
367,72,1459
376,73,1473
371,74,1487
375,75,1501
370,76,1513
384,76,1537
394,76,1554
390,77,1567
373,82,1577
382,84,1594
385,84,1608
383,84,1622
379,85,1636
364,86,1648
368,87,1663
372,88,1675
373,88,1693
383,88,1708
389,88,1721
389,88,1734
385,88,1743
375,88,1755
370,88,1769
373,89,1783
367,92,1798
350,94,1821
352,95,1834
365,95,1846
369,97,1863
378,97,1878
384,97,1885
378,97,1892
374,97,1902
364,97,1910
345,99,1915
341,100,1926
343,100,1930
328,100,1940
326,103,1949
349,105,1960
339,105,1966
347,106,1975
353,106,1985
359,106,1996
353,106,1998
352,108,2005
346,108,2011
341,108,2015
335,108,2020
324,108,2028
314,109,2034
308,109,2038
313,109,2046
306,111,2049
305,113,2056
301,113,2060
305,113,2065
288,115,2067
294,115,2075
284,116,2082
291,117,2093
285,118,2096
275,119,2100
265,120,2108
265,120,2112
264,120,2116
266,121,2126
248,121,2133
237,122,2138
238,123,2143
249,124,2151
252,125,2158
242,125,2161
254,125,2166
250,125,2172
260,125,2176
260,125,2181
249,127,2187
240,127,2193
252,127,2197
231,127,2198
243,128,2202
243,129,2209
245,130,2213
240,131,2215
234,132,2218
236,134,2222
233,134,2225
233,134,2229
230,134,2231
230,134,2236
216,138,2238
225,139,2240
230,139,2245
218,139,2247
225,139,2253
224,139,2253
219,140,2255
226,140,2259
234,142,2264
232,143,2270
236,144,2273
235,146,2277
231,146,2280
233,146,2284
239,147,2288
