infections,deaths,infecteds
2,0,2
6,0,6
7,0,7
14,0,14
15,0,15
20,0,20
28,0,28
31,0,31
35,0,38
45,1,47
47,1,52
52,1,57
60,1,67
67,1,74
74,2,83
91,2,96
96,2,108
102,2,116
123,2,134
135,2,149
148,2,161
161,2,180
167,2,191
183,2,205
207,2,225
216,2,240
241,2,262
260,3,282
271,4,305
293,4,325
317,4,350
332,5,377
356,5,399
376,5,424
401,5,455
432,5,487
461,5,512
490,5,545
513,7,572
544,7,606
575,7,631
595,9,669
616,10,691
640,12,728
672,12,758
708,12,793
728,13,824
761,13,861
787,15,889
833,15,930
869,15,968
879,16,994
919,17,1037
948,18,1072
994,19,1121
1023,19,1156
1053,20,1205
1081,22,1239
1132,22,1296
1160,24,1335
1214,25,1385
1244,30,1425
1269,32,1464
1290,33,1497
1350,34,1539
1364,36,1581
1377,38,1618
1424,40,1655
1451,40,1691
1468,42,1725
1499,43,1754
1511,45,1790
1550,46,1822
1590,46,1858
1620,48,1888
1634,50,1917
1689,51,1946
1704,53,1976
1743,54,2007
1769,58,2032
1782,59,2054
1779,64,2085
1798,68,2105
1803,70,2126
1797,74,2157
1824,76,2183
1869,77,2207
1888,78,2234
1934,78,2253
1898,84,2271
1932,85,2285
1956,89,2295
1945,91,2315
1938,92,2333
1951,95,2346
1950,99,2363
1979,102,2382
1990,105,2399
1978,108,2412
2002,110,2420
2026,114,2434
2014,115,2438
2011,119,2443
2013,121,2452
2010,124,2459
2001,125,2461
2012,128,2465
2037,132,2467
2026,135,2472
2021,136,2472
2028,139,2474
2009,143,2477
1998,146,2478
2021,149,2479
1972,153,2482
2000,153,2483
2019,158,2485
2032,161,2487
2006,164,2487
2013,167,2487
1988,172,2487
1986,174,2487
1947,177,2487
1958,179,2487
1958,182,2487
1980,183,2487
1988,185,2487
1984,187,2487
2001,193,2487
1998,196,2487
1954,198,2487
1942,198,2487
1931,199,2487
1942,205,2487
1945,207,2487
1913,211,2487
1947,211,2487
1972,214,2487
1957,218,2487
1938,221,2487
1954,221,2487
1926,223,2487
1931,226,2487
1885,229,2487
1891,231,2487
1909,234,2487
1905,237,2487
1915,237,2487
1927,238,2487
1896,240,2487
1911,240,2487
1931,243,2487
1918,245,2487
1892,246,2487
1883,248,2487
1862,252,2487
1888,257,2487
1889,258,2487
1884,260,2487
1883,262,2487
1897,263,2487
1886,269,2487
1843,272,2487
1824,274,2487
1847,278,2487
1844,281,2487
1867,284,2487
1855,287,2487
1868,288,2487
1895,295,2487
1861,297,2487
1853,300,2487
1828,302,2487
1820,306,2487
1803,307,2487
1844,310,2487
1785,314,2487
1834,317,2487
1834,318,2487
1842,322,2487
1818,325,2487
1850,329,2487
1831,333,2487
1835,334,2487
1802,338,2487
1833,344,2487
1831,348,2487
1817,351,2487
1804,353,2487
1813,354,2487
1811,357,2487
1810,358,2487
1804,359,2487
1789,361,2487
1790,363,2487
1795,365,2487
1772,368,2487
1776,372,2487
1791,374,2487
1761,377,2487
1760,381,2487
1785,383,2487
1752,385,2487
1791,387,2487
1759,393,2487
1755,394,2487
1761,397,2487
1769,398,2487
1750,401,2487
1774,402,2487
1750,404,2487
1732,407,2487
1736,409,2487
1702,411,2487
1711,419,2487
1730,422,2487
1706,422,2487
1710,423,2487
1733,427,2487
1710,430,2487
1723,433,2487
1713,435,2487
1703,436,2487
1713,437,2487
1705,437,2487
1696,439,2487
1698,441,2487
1699,442,2487
1727,443,2487
1708,445,2487
1691,447,2487
1697,450,2487
1707,454,2487
1698,456,2487
1686,460,2487
1671,470,2487
1655,471,2487
1673,475,2487
1665,476,2487
1665,482,2487
1668,486,2487
1644,490,2487
1645,494,2487
1658,498,2487
1623,502,2487
1649,504,2487
1661,506,2487
1655,507,2487
1653,510,2487
1632,513,2487
1651,513,2487
1637,516,2487
1618,518,2487
1606,519,2487
1596,520,2487
1601,521,2487
1614,522,2487
1598,523,2487
1609,523,2487
1622,525,2487
1637,526,2487
1629,529,2487
1616,531,2487
1633,533,2487
1609,535,2487
1614,536,2487
1610,538,2487
1632,538,2487
1613,540,2487
1626,546,2487
1603,550,2487
1608,552,2487
1604,552,2487
1589,553,2487
1580,555,2487
1593,559,2487
1578,563,2487
1601,564,2487
1577,567,2487
1558,568,2487
1559,569,2487
1571,572,2487
1560,576,2487
1563,580,2487
1564,581,2487
1539,584,2487
1541,586,2487
1560,586,2487
1570,588,2487
1553,588,2487
1565,589,2487
1591,589,2487
1576,592,2487
1575,595,2487
1568,599,2487
1559,602,2487
1545,604,2487
1532,606,2487
1521,609,2487
1516,612,2487
