infections,deaths,infecteds
2,0,2
2,0,2
3,0,3
5,0,5
5,1,6
6,1,7
9,1,10
9,1,10
11,1,13
13,1,15
16,1,18
16,1,20
18,1,23
19,1,26
21,1,27
25,2,32
28,2,36
30,2,39
33,2,43
41,2,50
39,2,52
45,2,55
44,2,55
47,2,60
46,3,64
48,3,71
42,4,75
48,4,80
58,4,90
57,5,94
61,5,102
70,5,106
78,8,115
82,10,119
86,10,127
88,10,135
89,11,139
96,12,151
101,13,159
105,14,168
116,14,182
134,16,200
139,17,209
149,19,219
153,22,227
149,23,234
154,27,244
160,28,252
144,32,260
145,34,267
142,35,274
140,40,281
148,42,290
142,43,300
142,45,310
149,45,323
159,45,335
159,47,344
168,49,359
173,51,370
173,52,374
176,53,383
167,57,390
161,58,398
170,59,412
177,63,420
174,65,436
187,67,449
194,69,459
201,69,471
221,71,482
224,72,493
224,76,505
239,79,518
245,82,530
251,84,546
264,88,561
252,89,578
263,90,594
280,94,609
280,97,621
285,102,637
292,105,655
299,108,673
315,112,692
326,116,712
328,121,731
339,121,750
344,124,771
347,127,789
365,129,814
382,137,835
377,140,863
391,148,886
400,149,907
395,152,930
418,160,954
429,165,980
430,174,1005
420,181,1025
428,188,1049
438,194,1077
456,201,1103
456,204,1117
441,210,1137
442,214,1157
448,219,1179
449,230,1204
437,234,1217
436,241,1240
431,247,1265
441,248,1283
452,253,1306
466,260,1327
467,264,1353
492,266,1375
513,270,1397
530,280,1420
536,286,1443
554,291,1469
557,297,1489
550,304,1506
559,312,1539
560,320,1568
554,333,1591
527,343,1608
520,353,1633
534,360,1661
553,367,1698
549,374,1713
554,379,1741
555,384,1770
568,390,1790
601,394,1816
626,400,1845
609,410,1873
609,417,1894
609,425,1918
616,435,1943
640,441,1968
640,449,1989
620,460,2011
615,469,2028
617,478,2055
618,489,2074
599,492,2086
583,504,2103
571,510,2119
586,515,2142
583,522,2163
564,531,2176
561,541,2192
558,548,2205
574,554,2225
558,564,2240
551,570,2250
566,578,2259
562,582,2271
549,587,2283
560,597,2300
543,607,2309
532,608,2317
520,615,2325
515,622,2340
509,629,2353
506,634,2366
483,637,2371
464,646,2379
487,648,2389
506,655,2397
480,663,2404
467,669,2408
460,684,2419
466,688,2424
455,697,2430
444,703,2437
409,711,2439
383,721,2443
377,724,2444
366,728,2445
356,732,2450
343,737,2451
343,737,2453
336,744,2455
332,747,2457
328,748,2461
309,751,2463
310,757,2464
286,760,2467
292,762,2467
274,768,2467
273,772,2467
269,774,2468
279,777,2470
270,782,2471
269,784,2472
263,786,2472
254,790,2472
246,793,2473
228,798,2474
232,802,2476
226,804,2477
227,806,2477
220,807,2478
220,811,2478
219,814,2478
227,814,2479
221,817,2479
218,821,2479
199,826,2479
199,827,2479
196,832,2479
198,834,2479
190,837,2479
181,840,2479
172,843,2479
176,846,2479
170,847,2479
162,848,2479
156,849,2479
147,849,2479
149,851,2479
145,853,2479
142,855,2479
137,857,2479
141,860,2479
135,861,2479
135,864,2479
132,868,2479
124,868,2479
130,870,2479
129,870,2479
128,871,2479
122,871,2479
113,874,2479
118,875,2479
114,878,2479
116,879,2479
108,881,2479
103,881,2479
96,885,2479
97,887,2479
99,888,2479
94,892,2479
87,893,2479
83,895,2479
78,897,2479
79,898,2479
76,900,2479
72,901,2479
59,901,2479
58,902,2479
57,903,2479
56,904,2479
53,908,2479
53,908,2479
55,909,2480
54,910,2480
54,911,2480
59,911,2480
53,913,2480
55,913,2480
56,914,2480
54,914,2480
50,914,2480
53,915,2481
47,916,2481
44,918,2481
46,919,2481
44,919,2481
41,919,2481
42,919,2481
42,919,2481
46,920,2481
50,920,2481
42,921,2481
42,921,2481
46,922,2481
46,922,2481
42,923,2481
44,923,2481
44,924,2481
45,924,2482
46,924,2482
46,924,2482
40,925,2482
40,925,2483
43,925,2483
37,926,2483
37,926,2483
35,927,2483
33,927,2483
33,927,2483
34,927,2483
34,928,2483
30,928,2483
25,928,2483
23,928,2483
23,928,2483
23,928,2483
