infections,deaths,infecteds
1,0,1
2,0,2
2,0,2
3,0,3
2,0,3
2,0,3
5,0,5
5,0,5
4,0,5
10,0,11
10,0,11
9,0,11
16,0,17
17,0,18
18,0,19
21,0,22
22,0,24
22,0,26
26,0,29
24,0,32
27,1,36
29,1,37
32,1,42
40,1,51
41,1,53
44,2,58
46,2,63
51,2,67
53,2,70
56,2,77
52,2,80
53,2,83
62,2,90
64,2,96
68,2,101
69,2,106
68,2,110
73,3,114
79,3,122
78,5,130
84,5,137
77,5,139
83,5,147
93,5,153
96,6,160
97,6,168
101,7,177
100,7,183
115,7,199
119,7,205
118,7,213
99,7,218
96,7,221
80,7,223
72,7,226
60,7,226
49,7,228
42,7,229
27,7,229
21,7,229
11,7,229
7,7,229
5,7,229
3,7,229
1,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
0,7,229
