infections,deaths,infecteds
2,0,2
3,0,3
5,0,5
6,0,6
8,0,9
9,0,10
10,0,10
12,0,13
16,0,18
18,0,19
19,0,22
22,0,24
27,0,29
30,0,32
30,0,34
37,0,42
39,0,46
41,0,51
45,0,58
49,1,62
49,1,66
55,1,75
65,1,84
66,1,89
79,1,98
81,2,104
87,2,111
92,2,118
101,3,127
112,3,137
112,3,146
113,3,153
117,3,161
122,5,166
129,5,179
129,5,185
124,6,194
124,6,201
132,6,210
141,6,223
145,6,236
151,6,242
150,7,252
166,7,264
173,7,272
189,7,285
184,9,293
192,10,303
191,11,313
205,13,321
195,14,325
82,14,327
67,14,331
59,14,332
52,14,334
47,14,338
38,14,340
29,14,340
27,14,340
31,14,341
31,14,345
31,14,345
27,14,346
23,14,350
22,14,351
19,14,351
16,14,351
15,14,352
16,14,352
19,14,352
26,14,354
25,14,355
21,14,355
19,14,355
19,14,355
17,14,355
17,14,355
14,14,355
18,14,356
19,14,356
18,14,356
15,14,356
11,15,356
11,15,356
12,15,356
9,15,356
11,15,357
8,15,357
9,15,357
12,15,357
16,15,357
22,15,357
25,15,357
22,15,357
19,15,357
23,15,357
28,15,358
25,15,358
21,15,358
19,15,358
15,15,358
12,15,359
12,15,359
12,15,359
12,15,359
12,15,359
11,15,359
11,15,359
13,15,359
14,15,359
18,15,359
19,15,359
22,15,359
21,15,359
21,15,359
19,15,359
23,15,359
23,15,359
21,15,359
21,15,359
20,15,359
21,15,359
19,15,359
21,15,359
21,15,359
21,15,359
25,15,359
25,15,359
25,15,359
22,15,359
22,15,359
22,15,359
15,15,359
17,15,359
18,15,359
16,15,359
15,15,359
14,15,359
20,15,361
21,15,361
21,15,361
22,15,362
18,15,362
18,15,362
19,15,362
17,15,362
17,15,362
15,15,362
17,15,362
19,15,362
17,15,362
17,15,362
17,15,362
18,15,362
18,15,362
17,15,362
15,15,362
16,15,362
17,15,362
16,15,362
16,15,362
18,15,363
15,15,363
14,15,363
12,15,363
13,15,363
14,15,363
12,15,363
10,15,363
9,15,363
13,15,363
12,15,363
12,15,363
13,15,363
13,15,363
13,15,363
15,15,363
15,15,363
15,15,363
15,15,363
14,15,363
11,16,363
9,16,363
9,16,363
7,16,363
7,16,363
6,16,363
7,16,363
9,16,363
9,16,363
11,16,363
11,16,363
11,16,363
12,16,363
15,16,363
14,16,363
14,16,363
18,16,363
21,16,363
17,16,363
15,16,363
18,16,365
16,16,365
17,16,365
15,16,365
18,16,367
18,16,367
17,16,367
17,16,367
17,16,367
18,16,367
21,16,367
19,16,367
15,16,367
18,16,367
18,16,367
18,16,367
17,16,367
16,16,367
18,16,367
16,16,367
14,16,367
12,16,367
9,16,367
9,16,367
11,16,367
9,16,367
6,16,367
10,16,367
9,16,367
9,16,367
8,16,367
9,16,367
11,16,367
13,16,367
13,16,367
17,16,367
17,16,367
18,16,367
17,16,367
18,16,368
18,16,368
18,16,369
14,17,369
16,17,371
17,17,371
18,17,373
21,17,374
22,17,374
16,17,374
14,17,374
19,17,374
19,17,375
20,17,376
21,17,377
21,17,377
16,17,377
18,17,377
18,18,377
16,18,377
15,18,378
14,18,378
17,18,378
18,18,378
15,18,378
12,18,378
10,18,378
8,18,378
9,18,378
8,18,378
9,18,378
8,18,378
9,18,378
8,18,378
10,18,378
11,18,378
12,18,378
14,18,378
15,18,378
17,18,378
20,18,378
21,18,378
22,18,379
23,18,379
21,18,379
23,18,379
22,18,379
18,18,379
17,18,379
16,18,379
13,18,379
15,18,379
18,18,379
18,18,379
16,18,379
17,18,379
16,18,379
17,18,379
17,18,379
15,19,379
