infections,deaths,infecteds
2,0,1
4,0,3
5,0,4
5,0,4
8,0,8
11,0,11
13,0,12
17,0,16
18,0,19
19,0,21
23,0,23
26,0,28
26,0,30
27,0,30
29,0,36
28,0,39
33,1,42
34,1,46
35,1,48
37,1,52
43,1,59
47,1,66
51,1,69
59,1,76
61,2,81
62,2,84
69,2,94
70,2,94
68,2,100
79,2,114
83,2,120
89,2,130
100,2,141
106,2,151
112,2,161
115,3,167
128,3,181
128,4,191
134,4,202
124,4,207
134,5,222
140,5,231
152,5,243
154,6,253
160,6,261
156,6,270
175,6,283
187,6,298
187,6,307
205,7,323
204,7,334
213,7,343
231,8,350
230,8,364
237,8,383
254,9,397
246,9,409
263,10,429
284,10,452
289,10,461
318,11,490
323,12,512
330,12,523
355,13,548
373,13,571
372,14,591
371,16,605
386,17,629
386,19,649
403,19,667
403,19,685
399,20,701
414,20,715
439,21,734
450,21,749
470,23,773
486,25,790
485,27,806
511,30,827
512,30,849
515,31,867
534,31,897
528,31,916
537,31,936
539,32,952
558,32,974
568,34,997
586,35,1025
587,38,1046
594,41,1070
599,42,1093
633,44,1117
654,46,1147
660,46,1171
656,48,1189
681,51,1216
688,53,1242
704,56,1272
720,59,1299
714,62,1332
729,64,1362
726,67,1387
752,70,1417
743,71,1439
764,73,1467
779,76,1488
773,77,1506
783,78,1534
807,79,1564
810,81,1581
824,86,1612
840,86,1643
826,90,1661
866,91,1700
869,95,1729
861,96,1750
861,102,1774
886,103,1796
889,104,1824
897,109,1842
921,113,1863
912,118,1887
920,120,1901
934,121,1922
933,124,1937
948,125,1959
942,129,1979
946,130,1998
961,133,2020
953,139,2036
950,142,2057
989,145,2075
1006,147,2094
989,149,2112
983,150,2137
981,152,2147
994,156,2166
995,156,2181
992,165,2198
976,167,2213
991,171,2231
976,174,2246
981,179,2257
1004,183,2280
994,188,2294
1005,194,2306
995,197,2327
996,202,2338
999,203,2344
996,207,2360
989,208,2373
991,209,2386
1008,209,2401
1027,214,2413
1005,217,2425
984,222,2433
1003,223,2438
1001,225,2448
969,229,2454
968,232,2464
964,236,2467
951,238,2473
940,243,2475
967,246,2480
948,247,2481
991,247,2484
1008,249,2488
975,250,2490
991,252,2492
1018,252,2494
1004,255,2496
999,257,2497
1016,260,2499
990,260,2502
978,262,2504
985,264,2505
956,265,2505
953,269,2507
977,275,2507
957,277,2508
992,280,2509
959,282,2511
944,286,2511
963,288,2512
960,291,2515
928,295,2516
935,297,2518
922,298,2519
895,302,2520
905,303,2521
901,305,2523
889,311,2523
886,315,2523
875,318,2523
869,320,2524
869,322,2526
857,324,2526
826,327,2527
839,331,2528
834,332,2528
820,333,2532
816,334,2532
826,336,2533
820,337,2533
851,339,2534
846,344,2535
831,348,2536
837,348,2536
840,349,2537
859,353,2537
872,355,2538
622,357,2538
531,359,2538
450,360,2538
365,361,2538
292,361,2538
209,362,2538
140,365,2538
76,365,2538
54,365,2538
35,368,2538
20,368,2538
14,368,2538
13,368,2538
10,368,2538
5,368,2538
3,368,2538
1,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
0,368,2538
