infections,deaths,infecteds
1,0,1
2,0,2
3,0,3
3,0,3
3,0,4
3,0,4
5,0,6
7,0,8
8,0,8
8,0,9
10,0,11
11,0,12
14,0,15
13,0,15
15,0,17
16,1,19
17,1,20
16,1,21
17,2,23
20,3,26
22,4,29
25,4,32
23,4,35
27,4,38
30,4,43
31,4,46
38,4,56
37,4,59
43,4,67
46,4,72
46,4,77
25,4,78
36,4,85
34,5,87
33,5,91
34,5,94
37,6,102
37,6,105
40,6,106
44,6,112
41,6,113
39,6,114
36,6,116
36,6,118
29,6,118
28,6,118
28,6,119
32,6,120
35,6,122
34,6,124
32,6,126
39,6,126
42,6,128
43,6,132
45,6,132
51,6,139
51,6,140
52,6,140
50,6,145
48,7,146
46,7,147
42,7,149
45,8,150
45,8,152
47,8,155
46,8,155
49,8,160
54,8,162
52,8,163
53,8,166
56,8,167
54,8,167
52,8,168
52,8,168
52,8,170
49,8,172
44,8,172
50,8,173
45,8,173
39,8,173
45,8,173
53,8,175
49,8,175
46,9,175
48,9,176
48,10,179
55,10,181
56,10,182
54,12,183
46,12,184
47,12,184
55,12,186
54,12,188
54,13,189
54,13,193
49,13,195
52,13,197
56,13,200
49,13,201
54,13,206
54,13,208
52,13,212
57,13,216
49,13,216
49,16,221
54,16,227
56,16,231
61,16,232
62,16,236
62,16,237
61,16,240
64,16,242
68,17,248
64,17,250
63,17,253
66,17,255
71,17,256
69,17,257
76,17,259
74,17,261
84,17,264
90,17,268
92,17,269
91,17,271
100,17,277
96,17,278
93,17,280
97,17,286
94,17,290
99,17,291
100,17,295
93,17,297
98,17,299
99,17,301
98,17,304
104,17,308
103,17,310
109,17,318
100,17,319
96,18,323
92,19,325
98,19,328
98,19,333
97,21,336
90,22,340
99,22,342
102,22,347
101,22,351
107,22,357
116,23,365
105,23,368
120,24,373
116,24,376
108,24,378
120,24,384
126,24,390
117,24,391
120,24,392
133,24,398
129,24,400
139,24,403
135,24,406
127,24,407
131,24,408
133,24,414
129,26,418
127,27,419
116,28,421
114,28,427
115,30,430
115,31,431
115,32,431
117,32,435
112,32,436
110,32,438
121,33,440
128,33,440
125,33,441
138,33,442
139,33,443
135,34,444
140,34,446
142,34,449
140,34,456
150,34,456
144,37,457
144,38,460
142,38,461
144,38,463
149,38,464
150,38,469
152,38,470
150,39,474
152,39,477
156,39,479
158,41,480
152,41,481
145,42,484
153,42,489
153,42,491
147,42,492
151,43,495
151,44,502
151,44,505
155,44,507
150,44,511
154,44,514
152,45,517
158,45,521
159,46,525
158,46,530
157,46,531
161,47,536
169,47,541
172,47,545
171,47,552
180,47,557
179,47,558
185,47,564
194,47,567
199,47,573
185,47,575
189,47,581
187,47,585
186,47,586
184,47,588
185,49,594
174,49,595
199,49,603
187,49,606
201,49,611
211,50,614
212,51,615
210,52,621
221,52,624
209,52,626
210,52,629
213,52,634
212,52,638
211,52,650
216,52,653
203,55,656
196,56,660
197,56,663
200,57,668
211,57,671
207,57,674
209,57,679
208,57,680
210,58,684
227,59,689
225,59,689
209,60,692
212,60,693
222,60,694
211,61,696
219,61,698
234,61,702
225,62,704
224,63,705
231,64,706
229,64,708
232,64,711
240,64,713
233,64,717
228,64,720
227,64,723
228,64,728
240,64,731
235,65,735
233,65,737
229,66,739
224,66,741
225,66,744
220,66,744
230,67,748
227,67,750
229,67,754
236,67,761
241,68,766
240,68,769
236,69,776
236,69,781
236,69,787
245,69,795
256,69,804
256,69,808
254,69,812
246,69,812
250,69,820
254,73,825
263,74,829
262,74,833
272,74,835
269,75,843
269,75,846
275,77,848
265,78,855
248,78,856
237,78,858
