infections,deaths,infecteds
1,0,0
3,0,2
3,0,2
4,0,3
4,0,4
4,0,4
7,0,7
9,0,8
10,0,11
11,0,12
12,0,13
14,0,17
17,0,19
15,0,20
20,0,23
17,0,25
23,0,30
23,0,32
32,0,42
38,0,47
42,0,55
58,0,68
61,0,74
66,1,81
74,1,89
76,1,95
77,1,101
86,1,110
85,1,117
83,1,124
90,1,133
97,3,142
104,3,150
104,3,155
113,4,167
124,4,180
132,4,192
137,4,200
145,5,214
153,5,225
159,5,234
170,5,249
163,5,253
170,6,263
179,6,273
193,6,286
181,6,295
192,6,302
194,6,317
197,6,329
203,6,343
190,7,351
193,8,358
186,8,363
174,10,368
163,10,371
141,10,374
124,11,376
107,12,378
91,13,380
76,13,382
64,14,384
57,14,386
53,14,389
43,14,390
41,14,393
36,14,395
31,14,396
26,14,396
26,14,400
19,14,401
18,14,402
15,14,402
12,14,403
11,14,404
9,14,404
5,14,404
4,14,404
3,14,404
3,14,404
1,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
0,14,404
