infections,deaths,infecteds
1,0,0
1,0,0
2,0,1
3,0,2
2,0,2
4,0,4
4,0,4
7,0,6
7,0,6
7,0,6
6,0,7
9,0,9
11,0,12
13,0,15
11,1,15
14,1,19
16,1,20
18,1,22
20,1,26
22,1,29
24,1,33
28,1,37
34,1,40
37,1,44
44,1,51
48,2,58
60,2,70
62,2,77
70,3,84
73,3,95
80,3,104
86,3,117
87,3,118
86,3,125
91,3,134
95,3,141
95,3,146
100,3,155
104,3,166
112,4,174
115,4,177
122,4,193
131,5,204
142,5,212
149,5,227
149,5,235
152,7,244
162,7,253
158,8,263
164,8,270
169,8,285
183,10,299
192,10,312
201,10,328
214,10,341
229,10,351
235,12,366
244,12,387
255,12,410
261,12,421
273,12,443
290,15,460
290,15,470
298,17,480
307,18,493
309,18,507
316,18,517
312,19,532
328,19,553
338,20,571
340,20,581
344,21,594
363,24,618
365,24,629
374,26,644
364,27,658
372,27,675
373,28,694
384,29,711
369,30,719
385,30,741
392,31,760
396,33,777
394,33,794
403,35,808
411,36,826
434,37,843
460,37,865
466,38,881
461,40,898
487,41,922
490,42,934
520,42,957
524,44,976
525,45,991
552,48,1013
562,48,1030
577,52,1053
589,52,1074
577,53,1089
569,53,1102
593,55,1124
611,55,1145
618,58,1159
595,61,1168
595,63,1192
620,64,1210
643,67,1235
642,69,1252
635,69,1269
630,70,1293
651,70,1319
671,70,1338
700,71,1375
701,75,1404
742,75,1437
748,78,1460
771,78,1491
786,79,1521
799,80,1544
794,84,1566
826,85,1594
829,86,1616
842,91,1644
855,92,1676
878,93,1706
877,98,1734
896,99,1756
924,102,1794
932,102,1822
905,103,1843
902,106,1870
940,108,1896
902,109,1910
921,113,1935
918,114,1952
906,115,1971
933,116,1985
949,116,2006
912,118,2021
944,118,2045
955,120,2058
971,123,2082
956,127,2101
969,130,2120
962,130,2130
982,131,2150
968,136,2160
980,136,2181
995,141,2195
1001,143,2206
1023,147,2226
1015,149,2239
1031,150,2251
1053,151,2266
1078,152,2284
1048,155,2296
1076,157,2313
1085,162,2321
1077,164,2335
1082,165,2347
1056,170,2360
1070,171,2373
1073,174,2383
1082,176,2398
1070,178,2409
1092,181,2419
1089,184,2429
1102,186,2432
1089,189,2437
1086,192,2444
1069,196,2448
1052,199,2454
1056,200,2460
1068,202,2465
1045,204,2471
1027,208,2474
1037,210,2477
1028,211,2479
1039,216,2483
1027,219,2485
1019,221,2489
1025,223,2491
1023,226,2492
1042,231,2494
1005,235,2498
1017,240,2501
1011,241,2501
1016,244,2501
1002,245,2503
995,247,2503
986,251,2507
983,254,2508
1012,260,2509
992,265,2511
980,267,2511
1001,270,2513
974,274,2513
956,274,2513
952,277,2516
956,280,2517
936,282,2518
926,286,2519
924,288,2519
927,292,2519
929,293,2519
913,296,2519
915,296,2519
894,300,2519
888,306,2519
891,310,2519
868,313,2519
842,313,2519
812,315,2519
771,318,2519
730,321,2519
693,323,2519
661,327,2520
608,331,2520
579,331,2520
538,335,2520
513,336,2520
485,338,2520
448,339,2520
395,342,2520
366,343,2520
333,344,2520
314,344,2520
283,344,2520
242,346,2520
234,347,2521
218,349,2521
205,349,2521
196,349,2522
182,349,2522
169,349,2522
168,349,2522
164,350,2522
149,351,2522
143,351,2522
130,352,2522
124,353,2522
109,353,2522
107,353,2522
93,355,2522
83,355,2522
77,355,2522
71,356,2522
67,356,2522
65,356,2522
52,356,2522
46,356,2522
37,356,2522
37,356,2522
30,356,2522
26,356,2522
22,356,2522
16,356,2522
18,356,2522
15,356,2522
9,356,2522
8,356,2522
5,357,2522
4,357,2522
5,357,2522
4,357,2522
1,357,2522
1,357,2522
1,357,2522
1,357,2522
1,357,2522
1,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
0,357,2522
