infections,deaths,infecteds
4,0,4
5,0,5
6,0,6
10,0,10
9,0,10
13,0,13
22,0,22
23,0,25
28,0,29
34,0,36
38,0,42
40,0,44
46,0,50
54,0,61
56,0,66
64,0,77
79,0,89
92,0,99
102,0,112
111,0,120
117,0,131
127,2,143
137,2,158
140,4,171
158,5,193
170,7,208
179,8,219
199,9,237
209,9,253
219,9,267
230,9,284
247,10,303
254,10,320
264,13,337
292,13,358
312,13,380
326,13,400
345,13,420
358,13,440
382,14,466
388,14,479
414,14,505
407,14,524
428,15,548
442,16,567
474,17,593
495,19,631
517,19,653
537,21,684
551,24,708
585,25,743
607,27,773
628,28,805
634,28,842
681,28,876
709,28,912
739,29,941
764,30,972
809,31,1008
841,32,1052
861,34,1078
888,35,1115
894,37,1146
933,39,1184
937,39,1218
967,40,1256
1009,44,1293
1027,46,1331
1056,49,1371
1094,54,1416
1148,56,1476
1176,57,1511
1216,58,1557
1259,63,1598
1304,64,1651
1294,71,1687
1331,75,1729
1353,78,1767
1347,80,1810
1413,84,1856
1422,89,1881
1436,90,1918
1452,93,1940
1490,94,1975
1489,98,1992
1517,103,2017
1507,107,2041
1498,110,2059
1513,114,2080
1544,117,2101
1533,119,2119
1554,121,2132
1566,128,2149
1577,136,2168
1541,138,2175
1566,147,2194
1577,156,2208
1544,163,2216
1548,168,2234
1590,170,2258
1594,173,2272
1630,177,2288
1626,179,2309
1633,179,2323
1606,186,2334
1682,192,2359
1648,199,2371
1633,204,2382
1634,207,2399
1623,214,2407
1638,217,2421
1671,221,2432
1695,227,2437
1678,233,2449
1659,240,2456
1662,246,2462
1673,247,2468
1656,252,2476
1649,254,2481
1635,258,2489
1619,262,2496
1630,269,2503
1628,273,2510
1634,274,2515
1657,277,2517
1673,280,2522
1670,283,2528
1659,285,2532
1643,291,2536
1647,293,2539
1650,295,2542
1626,300,2545
1638,307,2547
1613,309,2550
1637,316,2550
1630,320,2551
1603,325,2551
1614,326,2553
1638,332,2554
1594,337,2554
1605,344,2555
1613,350,2556
1618,353,2556
1611,358,2556
1597,363,2556
1564,366,2557
1574,370,2558
1587,373,2558
1568,378,2558
1540,385,2560
1558,388,2561
1533,393,2562
1574,397,2564
1547,403,2564
1529,412,2564
1535,419,2564
1554,421,2564
1532,425,2564
1536,428,2564
1539,431,2564
1536,436,2564
1509,442,2564
1496,446,2564
1506,448,2565
1508,454,2565
1507,457,2565
1508,465,2565
1497,467,2565
1494,471,2565
1487,475,2565
1507,479,2565
1468,482,2565
1456,485,2565
1451,492,2565
1446,499,2565
1467,503,2565
1436,508,2565
1428,514,2565
1413,518,2565
1408,522,2565
1385,526,2565
1382,527,2565
1358,532,2565
1360,534,2565
1365,539,2565
1369,542,2565
1380,543,2565
1399,546,2565
1399,550,2565
1397,551,2565
1441,551,2565
1404,554,2565
1410,558,2565
1415,560,2565
1412,566,2565
1386,567,2565
1394,571,2565
1371,579,2565
1371,583,2565
1376,584,2565
1360,588,2565
1349,591,2565
1331,594,2565
1344,595,2565
1348,597,2565
1343,602,2565
1345,602,2565
1341,606,2565
1334,608,2565
1354,608,2565
1333,613,2565
1339,619,2565
1317,621,2565
1304,625,2565
1311,629,2565
1298,632,2565
1308,634,2565
1290,637,2565
1280,643,2565
1295,647,2565
1296,652,2565
1280,656,2565
1280,662,2565
1279,668,2565
1278,671,2565
1277,672,2565
1275,675,2565
1248,679,2565
1225,682,2565
1242,688,2565
1246,693,2565
1226,698,2565
1209,709,2565
1198,712,2565
1202,715,2565
1220,718,2565
1199,720,2565
1170,723,2565
1187,727,2565
1173,729,2565
1178,733,2565
1200,735,2565
1182,738,2565
1187,743,2565
1180,744,2565
1183,746,2565
1165,752,2565
1166,756,2565
1135,757,2565
1094,761,2565
1088,763,2565
1092,765,2565
1076,767,2565
1060,770,2565
1054,774,2565
1073,780,2565
1056,783,2565
1067,783,2565
1052,784,2565
1035,784,2565
1038,785,2565
1050,785,2565
1022,789,2565
1026,791,2565
1030,794,2565
1044,796,2565
1045,800,2565
1063,805,2565
1032,807,2565
1049,810,2565
1034,813,2565
1038,814,2565
1013,815,2565
1038,817,2565
1007,821,2565
1023,822,2565
1009,824,2565
1021,828,2565
1015,830,2565
1031,833,2565
1009,840,2565
1005,843,2565
1013,845,2565
1007,846,2565
1011,848,2565
1019,848,2565
1027,853,2565
1013,859,2565
1047,864,2565
1046,867,2565
1034,869,2565
1037,871,2565
1019,871,2565
1008,874,2565
995,878,2565
1004,882,2565
966,884,2565
975,887,2565
954,888,2565
946,889,2565
