infections,deaths,infecteds
2,0,2
2,0,2
4,0,4
5,0,5
5,0,6
6,0,7
9,0,10
10,0,11
14,0,15
17,0,18
19,0,21
21,0,23
25,0,27
22,0,27
27,0,30
36,0,42
35,0,43
33,0,44
36,0,48
38,0,51
40,0,54
41,0,59
43,0,64
45,0,67
49,0,71
51,1,74
50,1,76
57,1,86
65,2,91
65,2,96
69,2,107
69,2,112
81,2,122
89,2,127
95,2,138
93,2,141
96,2,149
94,2,156
103,2,170
113,2,181
104,2,186
114,2,198
126,2,205
129,4,215
135,4,226
153,4,240
143,4,241
145,5,251
149,5,262
143,6,269
152,6,279
103,6,285
93,7,292
87,7,296
90,7,303
83,7,305
76,8,310
70,9,313
70,10,317
56,10,318
51,10,318
47,10,321
45,10,322
36,10,322
30,10,322
23,10,323
24,10,324
18,10,324
15,10,324
12,10,325
9,10,326
9,10,326
9,10,327
7,10,328
6,10,328
5,10,328
6,10,329
8,10,331
7,10,332
6,10,332
4,10,332
3,10,332
3,10,332
3,10,332
2,10,332
2,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
0,10,332
